Year,GDP Growth Rate,Foreign Aid,Investment,Govt Expenditure,Trade Openness,Inflation,Shocks
1963,8.778340216,55590000.15,20.364695353833334,11.47088055,60.99571232,0.697674419,0
1964,4.964467288,56709999.08,13.06420449,13.84917666,62.60164409,-0.099304867,0
1965,2.009094171,72129997.25,14.39394484,14.84287734,62.09317118,3.578528828,0
1966,14.7285664,55409999.85,18.61024061,13.72926019,63.28443577,5.014395393,1
1967,3.361232033,36709999.08,20.1726488,14.12994094,57.83734666,1.759195796,0
1968,7.982689969,60709999.08,20.04882893,15.20731606,58.69817098,0.36671157,0
1969,7.959224459,55810001.37,19.37218009,16.43467409,57.61735624,-0.171501007,0
1970,-4.655446916,57349998.47,24.39667517,16.25746516,60.48964482,2.188527039,0
1971,22.17389193,66849998.47,23.91598703,17.98028781,63.82846302,3.780206125,0
1972,17.08242935,71860000.61,22.31730003,17.63220834,55.31490832,5.831644743,0
1973,5.89658021,94970001.22,25.81122566,16.45223728,56.06284868,9.281194223,0
1974,4.065617349,116580001.8,25.75563307,17.03591968,74.57340436,17.80994803,0
1975,0.882203175,124819999.7,18.13989346,18.32539901,64.33526782,19.12018401,1
1976,2.153964503,154600006.1,20.2442178,17.4601025,64.20610897,11.44903049,0
1977,9.453797844,160759994.5,23.72332115,17.20522609,66.55196516,14.82096448,0
1978,6.912493546,245610000.6,29.78928932,19.51476536,67.62354066,16.93178246,0
1979,7.615226046,348339996.3,18.1327783,19.19577719,57.36417475,7.979352618,0
1980,5.591976206,394790008.5,24.50714062,19.80337526,65.41679594,13.85818146,0
1981,3.773544194,448149993.9,22.91344169,18.58875129,64.28018576,11.60305344,0
1982,1.506478258,484600006.1,21.86021484,18.43303278,58.21573715,20.66671467,1
1983,1.309050241,396100006.1,20.92506552,18.42165438,54.16270539,11.39778274,0
1984,1.755216977,408429992.7,19.81103195,17.38183334,58.80389758,10.28409821,0
1985,4.300561819,426660003.7,25.32482373,17.46029227,55.44543455,13.00656642,0
1986,7.177555391,442959991.5,21.76803717,18.31956697,55.74138559,2.534275989,0
1987,5.937107444,557219970.7,24.28943287,18.56875563,47.70276801,8.63767319,0
1988,6.203183823,832030029.3,25.44904102,18.40578922,49.97498209,12.26496305,0
1989,4.690348768,1059699951.0,24.86207761,18.05660779,53.15637722,13.78931728,0
1990,4.192050972,1181290039.0,24.1640929,18.6424309,57.02091368,17.78181443,0
1991,1.438346792,916460022.0,20.97051486,16.77134566,55.59769922,20.08449558,0
1992,-0.799493959,884919982.9,16.92083908,15.68227259,52.9308701,27.33236445,1
1993,0.353197256,915630004.9,17.61043506,14.47996549,72.85848136,45.9788813,1
1994,2.632784518,677869995.1,19.29324297,15.15492631,71.26612523,28.81438943,0
1995,4.406216525,733090026.9,21.8197611,14.84292105,71.74574164,1.554328161,0
1996,4.146839269,596260009.8,15.00382269,15.18056739,57.3121107,8.864087416,0
1997,0.474901921,448649993.9,15.14098814,15.53615219,54.05711686,11.36184505,1
1998,3.290213722,415260009.8,16.69271641,16.24996092,48.89724194,6.722436508,0
1999,2.305388595,311250000.0,15.52141487,15.75329665,48.19227499,5.742001095,0
2000,0.599695391,513919982.9,17.41409062,15.05429226,53.30904439,9.980025154,0
2001,3.779906498,472410003.7,18.79034052,15.97291175,55.94683603,5.738598143,0
2002,0.54685953,388220001.2,15.13821589,17.07799991,55.17267226,1.961308217,0
2003,2.932475546,522900024.4,16.48214939,18.13131858,54.1322659,9.81569063,0
2004,5.104299776,655929992.7,16.96249556,17.86006596,59.47700335,11.62403554,0
2005,5.90666608,756570007.3,17.64968479,17.38021155,64.47886616,10.31277836,0
2006,6.4724943,941650024.4,18.6335854,14.3469988,55.23648513,14.45373421,0
2007,6.85072977,1222040039.0,20.45697839,14.62961147,53.8947888,9.75888023,1
2008,0.232282745,1249430054.0,19.61271142,15.67397942,57.57859865,26.23981664,1
2009,3.306939816,1697680054.0,19.01917242,13.55459479,45.94519181,9.234125924,0
2010,8.058473603,1631260010.0,21.2639988,12.95297182,50.39428735,3.961388891,0
2011,5.12110612,2478820068.0,21.88581228,12.68464202,58.40220597,14.0224913,1
2012,4.568679614,2653659912.0,22.19336293,12.27137742,51.62369202,9.377770035,0
2013,3.797848393,3306840088.0,22.4049681,11.842626,47.46464251,5.71749357,0
2014,5.020111002,2661030029.0,24.950719,11.74249459,46.17048936,6.878154993,0
2015,4.967721128,2463560059.0,22.1033982,12.72668008,40.32738469,6.582154293,0
2016,4.213517068,2188389893.0,19.34843583,12.60976863,34.86501957,6.297249538,0
2017,3.837958174,2480219971.0,20.6634949,12.33507902,35.99505788,8.005649677,0
2018,5.647946407,2491010010.0,19.37598625,12.3486894,34.41475318,4.689806468,0
2019,5.114158858,3171919922.0,19.34183242,12.17079729,31.75946184,5.239637958,0
2020,-0.272766327,3989209961.0,19.65158417,12.47765997,27.23781553,5.405162079,1
2021,7.590489473,3176919922.0,20.39124478,12.1468578,30.82430318,6.107936037,0
2022,4.859981043,2652010010.0,19.05406385,12.2133041,33.69113873,7.659862683,0
2023,5.555873013,968862167.8338333,16.35689147,11.91511758,32.09207928,7.67139634,0
